den,datum,orp_kod,orp_nazev,incidence_7,incidence_65_7,incidence_75_7,prevalence,prevalence_65,prevalence_75,aktualni_pocet_hospitalizovanych_osob,nove_hosp_7,testy_7,code,name,population,population_65,code_region,name_region,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score
pátek,2020-11-13,4204,Kadaň,216,46,16,453,95,44,36,21,747,4204,Kadaň,43284,8078,CZ042,Ústecký kraj,1118.1961001755844,20,False,0,1138.8957662787818,20,True,2,28.915662650602407,30,False,0,0.907563025210084,5,77
pátek,2020-11-13,4205,Litoměřice,345,80,25,901,177,59,32,16,1056,4205,Litoměřice,59110,11658,CZ042,Ústecký kraj,1443.072238199966,20,False,0,1338.1369016984045,20,True,2,32.67045454545455,30,True,2,0.7172557172557172,0,74
pátek,2020-11-13,4206,Litvínov,216,73,44,475,132,70,32,18,699,4206,Litvínov,37035,7785,CZ042,Ústecký kraj,1593.0876198190902,20,False,0,1811.1753371868979,20,True,2,30.90128755364807,30,False,0,0.6118980169971672,0,72
pátek,2020-11-13,4207,Louny,195,32,11,471,75,25,20,25,714,4207,Louny,43640,8545,CZ042,Ústecký kraj,1221.3565536205315,20,False,0,912.8145114101814,16,True,2,27.310924369747898,30,False,0,0.6270096463022508,0,68
pátek,2020-11-13,4208,Lovosice,120,27,17,365,57,30,18,9,463,4208,Lovosice,27750,5804,CZ042,Ústecký kraj,1369.3693693693695,20,False,0,1068.2288077188146,20,True,2,25.917926565874733,25,False,0,0.5581395348837209,0,67
pátek,2020-11-13,4209,Most,345,67,34,658,119,61,64,45,1117,4209,Most,74673,13629,CZ042,Ústecký kraj,1095.4427972627323,20,False,0,953.84841147553,16,True,2,30.88630259623993,30,False,0,0.8079625292740047,5,73
pátek,2020-11-13,4210,Podbořany,67,18,3,138,28,5,3,2,280,4210,Podbořany,15678,3106,CZ042,Ústecký kraj,995.0248756218905,20,False,0,1030.26400515132,20,True,2,23.92857142857143,25,False,0,0.7613636363636364,0,67
pátek,2020-11-13,4211,Roudnice nad Labem,105,23,11,436,70,26,23,16,532,4211,Roudnice nad Labem,32808,6650,CZ042,Ústecký kraj,1115.581565471836,20,False,0,947.3684210526317,16,True,2,19.736842105263158,20,False,0,0.4883720930232558,0,58
pátek,2020-11-13,4212,Rumburk,146,37,19,305,64,28,14,13,575,4212,Rumburk,32795,6681,CZ042,Ústecký kraj,1000.1524622655893,20,True,0,987.8760664571173,20,True,2,25.39130434782609,25,False,0,0.9358974358974359,5,72
pátek,2020-11-13,4213,Teplice,445,66,28,944,165,72,66,34,1721,4213,Teplice,106472,21215,CZ042,Ústecký kraj,1108.2725974904201,20,False,0,933.301909026632,16,True,2,25.857059848925047,25,False,0,0.6931464174454829,0,63
