den,datum,orp_kod,orp_nazev,incidence_7,incidence_65_7,incidence_75_7,prevalence,prevalence_65,prevalence_75,aktualni_pocet_hospitalizovanych_osob,nove_hosp_7,testy_7,code,name,population,population_65,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score
sobota,2020-10-31,4214,Ústí nad Labem,968,153,63,1371,196,78,92,77,2659,4214,Ústí nad Labem,119338,23971,1460.557408369505,16,True,2,1051.2702849276209,16,True,2,36.40466340729598,25,True,2,1.1088201603665522,10,73
sobota,2020-10-31,4215,Varnsdorf,59,4,0,83,8,2,6,4,264,4215,Varnsdorf,19905,4211,577.7442853554384,16,True,2,261.2206126810734,13,True,2,22.348484848484848,20,False,0,0.9365079365079365,5,58
sobota,2020-10-31,4216,Žatec,132,14,8,236,29,9,12,12,564,4216,Žatec,27373,5216,1267.6725240200199,16,True,2,920.2453987730062,16,True,2,23.404255319148938,25,False,0,0.631578947368421,0,61
sobota,2020-10-31,5101,Česká Lípa,580,88,41,806,137,58,58,44,1608,5101,Česká Lípa,76998,14036,1281.8514766617313,16,True,2,1168.4240524365916,16,True,2,36.069651741293534,25,True,2,1.2554112554112553,15,78
sobota,2020-10-31,5102,Frýdlant,155,13,5,217,22,7,9,6,449,5102,Frýdlant,24479,4944,1049.8794885411985,16,True,2,627.0226537216829,16,True,2,34.521158129175944,25,True,2,1.2916666666666667,15,78
sobota,2020-10-31,5103,Jablonec nad Nisou,566,101,32,777,150,54,48,39,1387,5103,Jablonec nad Nisou,56206,11517,1821.8695512934562,16,True,2,1710.5148910306505,16,True,2,40.80749819754866,25,True,2,1.1185770750988142,10,73
sobota,2020-10-31,5104,Jilemnice,174,17,9,282,40,24,11,11,517,5104,Jilemnice,22137,4768,1698.5138004246285,16,True,2,1195.4697986577182,16,True,2,33.65570599613153,25,False,0,0.8571428571428571,5,66
sobota,2020-10-31,5105,Liberec,1260,185,74,1886,275,111,110,73,3636,5105,Liberec,145676,28910,1751.8328345094594,16,True,2,1221.030785195434,16,True,2,34.65346534653465,25,True,2,0.9375,5,68
sobota,2020-10-31,5106,Nový Bor,246,36,15,321,49,19,14,10,668,5106,Nový Bor,26302,5736,1513.1929130864573,16,True,2,1202.928870292887,16,True,2,36.82634730538922,25,True,2,1.490909090909091,20,83
sobota,2020-10-31,5107,Semily,278,49,27,462,77,39,16,13,683,5107,Semily,25675,5599,2247.3222979552093,16,True,2,1607.4298981961065,16,True,2,40.702781844802345,25,True,2,1.0,10,73
sobota,2020-10-31,5108,Tanvald,135,27,17,186,34,19,13,13,427,5108,Tanvald,20412,4465,1185.5771115030373,16,True,2,806.2709966405375,16,True,2,31.61592505854801,25,False,0,1.238532110091743,15,76
sobota,2020-10-31,5109,Turnov,299,45,15,437,70,32,27,20,773,5109,Turnov,33623,7134,1769.6219849507777,16,True,2,1415.7555368657136,16,True,2,38.68046571798189,25,True,2,0.9285714285714286,5,68
sobota,2020-10-31,5110,Železný Brod,114,22,9,157,35,14,12,14,278,5110,Železný Brod,12182,2797,1830.569692989657,16,True,2,1644.6192348945299,16,True,2,41.007194244604314,25,False,0,0.9421487603305785,5,66
sobota,2020-10-31,5201,Broumov,162,27,13,223,37,21,14,9,410,5201,Broumov,15876,3561,1895.9435626102293,16,True,2,1460.2639707947208,16,True,2,39.51219512195122,25,True,2,1.087248322147651,10,73
sobota,2020-10-31,5202,Dobruška,149,14,3,215,21,7,7,8,433,5202,Dobruška,20190,4276,1441.3075780089155,16,True,2,631.4312441534145,16,True,2,34.41108545034642,25,False,0,0.9254658385093167,5,66
sobota,2020-10-31,5203,Dvůr Králové nad Labem,323,86,46,433,97,50,23,21,954,5203,Dvůr Králové nad Labem,26949,6223,2289.50981483543,16,True,2,2008.6774867427284,16,True,2,33.85744234800839,25,True,2,0.8753387533875339,5,68
sobota,2020-10-31,5204,Hořice,95,14,4,129,21,8,8,8,375,5204,Hořice,18377,4041,1033.9010719921641,16,True,2,692.8977975748577,16,True,2,25.333333333333336,25,False,0,0.9895833333333334,5,66
sobota,2020-10-31,5205,Hradec Králové,1288,241,121,1809,336,148,108,71,4495,5205,Hradec Králové,146899,32484,1953.0425666614476,16,True,2,1536.1408693510652,16,True,2,28.654060066740822,25,False,0,0.768955223880597,0,61
sobota,2020-10-31,5206,Jaroměř,162,35,24,217,49,30,23,20,507,5206,Jaroměř,19273,3792,1732.9943444196545,16,True,2,1766.8776371308015,16,True,2,31.952662721893493,25,False,0,0.8223350253807107,5,66
sobota,2020-10-31,5207,Jičín,449,61,25,571,74,29,32,35,1215,5207,Jičín,48382,10108,1647.3068496548303,16,True,2,1108.03324099723,16,True,2,36.95473251028807,25,True,2,1.0251141552511416,10,73
sobota,2020-10-31,5208,Kostelec nad Orlicí,260,83,59,329,92,63,15,12,780,5208,Kostelec nad Orlicí,24892,5311,1872.087417644223,16,True,2,1995.8576539258145,16,True,2,33.33333333333333,25,True,2,1.1818181818181819,10,73
sobota,2020-10-31,5209,Náchod,891,159,93,1166,237,149,61,56,2077,5209,Náchod,60595,13494,2543.1141183265945,16,True,2,2238.031717800504,16,True,2,42.89841116995667,25,True,2,1.205683355886333,15,78
sobota,2020-10-31,5210,Nová Paka,96,13,4,131,20,7,9,8,263,5210,Nová Paka,13286,2887,1369.86301369863,16,True,2,1004.5029442327675,16,True,2,36.50190114068441,25,False,0,0.9411764705882353,5,66
sobota,2020-10-31,5211,Nové Město nad Metují,165,20,10,199,25,14,1,4,444,5211,Nové Město nad Metují,14214,3321,1822.1471788377655,16,True,2,1023.7880156579342,16,True,2,37.16216216216216,25,False,0,1.2992125984251968,15,76
sobota,2020-10-31,5212,Nový Bydžov,144,14,8,196,20,10,9,6,445,5212,Nový Bydžov,17384,3627,1737.229636447308,16,True,2,937.4138406396471,16,True,2,32.359550561797754,25,False,0,0.8089887640449438,5,66
sobota,2020-10-31,5213,Rychnov nad Kněžnou,344,42,19,452,59,25,18,14,849,5213,Rychnov nad Kněžnou,34301,6810,1865.834815311507,16,True,2,1424.3759177679883,16,True,2,40.51825677267373,25,True,2,0.98005698005698,5,68
sobota,2020-10-31,5214,Trutnov,597,129,67,765,152,77,25,24,1724,5214,Trutnov,63419,13537,1699.806051814125,16,True,2,1388.7862894289724,16,True,2,34.62877030162413,25,True,2,1.027538726333907,10,73
sobota,2020-10-31,5215,Vrchlabí,215,34,13,326,52,24,16,18,642,5215,Vrchlabí,27610,5935,1709.5255342267294,16,True,2,1213.1423757371526,16,True,2,33.48909657320872,25,False,0,0.7706093189964157,0,61
sobota,2020-10-31,5301,Česká Třebová,123,15,9,152,21,13,10,7,330,5301,Česká Třebová,17969,3841,1224.3307919194167,16,True,2,911.2210361884926,16,True,2,37.27272727272727,25,False,0,1.23,15,76
sobota,2020-10-31,5302,Hlinsko,285,86,58,367,99,64,13,13,604,5302,Hlinsko,21017,4465,2207.736594185659,16,True,2,2441.2094064949606,16,True,2,47.18543046357616,25,True,2,1.1491935483870968,10,73
sobota,2020-10-31,5303,Holice,185,28,7,229,35,11,13,13,496,5303,Holice,17910,3461,1848.1295365717476,16,True,2,1242.4154868535104,16,True,2,37.29838709677419,25,True,2,1.15625,10,73
sobota,2020-10-31,5304,Chrudim,773,124,48,1082,151,59,37,42,2241,5304,Chrudim,83596,17211,1673.5250490454087,16,True,2,1098.134913717971,16,True,2,34.493529674252564,25,False,0,1.143491124260355,10,71
sobota,2020-10-31,5305,Králíky,56,8,1,71,12,1,5,6,140,5305,Králíky,8676,1838,1060.3964960811434,16,True,2,816.1044613710555,16,True,2,40.0,25,False,0,1.4736842105263157,20,81
sobota,2020-10-31,5306,Lanškroun,113,14,5,160,21,11,5,9,253,5306,Lanškroun,23140,4468,1011.2359550561797,16,True,2,760.9668755595345,16,True,2,44.66403162055336,25,True,2,0.9658119658119658,5,68
sobota,2020-10-31,5307,Litomyšl,303,72,51,421,87,57,20,18,770,5307,Litomyšl,27205,5327,2084.175702995773,16,True,2,2083.724422752018,16,True,2,39.350649350649356,25,True,2,1.0978260869565217,10,73
sobota,2020-10-31,5308,Moravská Třebová,185,38,17,273,56,28,21,21,620,5308,Moravská Třebová,26138,5476,1591.5525288851481,16,True,2,1351.3513513513515,16,True,2,29.838709677419356,25,False,0,0.8114035087719298,5,66
sobota,2020-10-31,5309,Pardubice,1230,243,161,1665,309,197,89,63,3287,5309,Pardubice,131691,26335,1595.401356205056,16,True,2,1298.6519840516423,16,True,2,37.420139945238816,25,True,2,1.2933753943217665,15,78
sobota,2020-10-31,5310,Polička,241,29,12,322,41,17,13,14,530,5310,Polička,19611,3995,2223.2420580286575,16,True,2,1276.5957446808509,16,True,2,45.47169811320755,25,True,2,1.175609756097561,10,73
sobota,2020-10-31,5311,Přelouč,168,43,17,235,55,22,15,11,524,5311,Přelouč,25840,5172,1137.7708978328174,16,True,2,1160.092807424594,16,True,2,32.06106870229007,25,True,2,1.1748251748251748,10,73
sobota,2020-10-31,5312,Svitavy,165,26,15,236,40,23,18,16,559,5312,Svitavy,31379,6533,1089.9008891296728,16,True,2,627.5830399510179,16,True,2,29.5169946332737,25,False,0,0.9482758620689655,5,66
